DateTime,Market1: Close,Market1: High,Market1: Low,Market1: Open,Market2: Close,Market2: High,Market2: Low,Market2: Open,Market2: Open_Interest,Market2: Volume,Market3: Close,Market3: High,Market3: Low,Market3: Open,Market3: Open_Interest,Market3: Volume
2018-12-14 0:00:00,274,278.7,273.5,277.85,6041,6118,6007,6104.5,371639,63726,43770,44070,43330,43820,827944,421054
2018-12-15 0:00:00,274.85,276.15,270.95,274.1,6045,6065,5952.5,6030,372450,53202,43380,43670,43080,43430,831650,407462
2018-12-16 0:00:00,273.4,276.55,271.65,274.4,5980,6072,5968.5,6032,373673,49750,43350,43630,43030,43120,814526,435988
2018-12-17 0:00:00,,,,,,,,,,,43330,43450,43160,43310,810012,273380
2018-12-18 0:00:00,271.7,283.1,269.35,273.15,,,,,,,,,,,,
2018-12-19 0:00:00,276.3,277.7,271.2,271.65,6065,6093,5970,5972.5,376951,41061,43450,43560,43300,43300,809140,116826
2018-12-20 0:00:00,273.15,276.85,272.35,275.5,6010,6079,5988,6047,375584,43268,43580,43820,43360,43550,805438,272338
2018-12-21 0:00:00,272.9,275.95,271.55,273.45,5995,6063,5968,6007.5,371853,39663,43280,43540,43050,43380,819364,238872
2018-12-22 0:00:00,273.4,278,272.1,272.4,6039,6106.5,5986,5997.5,374264,52458,43380,43600,43150,43380,819646,235236
2018-12-23 0:00:00,271.9,276.2,271.25,273.6,5990,6080,5980,6028,373173,45180,43670,44000,43430,43510,820200,317282
2018-12-24 0:00:00,270,272.6,267.5,271.7,5945,6004,5900,5991,366530,58951,43160,43710,42580,43650,847324,361446
2018-12-25 0:00:00,271.25,272.75,266.85,270.4,5955,5975,5874.5,5948,363432,50361,42890,43180,42570,42760,843816,330834
2018-12-26 0:00:00,277.4,278.75,271.9,272.25,6060,6100,5966,5969,366699,58450,43090,43420,42640,42780,804974,139508
2018-12-27 0:00:00,277.4,280.9,276.15,277.75,6060,6147,6048,6071.5,365560,45254,43650,43840,43480,43670,784190,158680
2018-12-28 0:00:00,273.25,282.95,272.2,281.4,5980,6173,5972,6160,368449,64709,43720,44050,43400,43470,788502,160708
2018-12-29 0:00:00,270.2,273.9,268.8,272.8,5945,6013.5,5930,5980,367544,52495,43250,43390,43080,43260,778980,168176
2018-12-30 0:00:00,266.55,270.85,266.3,269.65,5911,5979,5894.5,5945.5,361459,49227,43140,43320,42950,43020,779420,151950
2018-12-31 0:00:00,269.4,270.35,264.75,266.8,5940,5962.5,5864.5,5902.5,358069,55954,42940,43280,42540,43110,798018,257064
2019-01-01 0:00:00,274.8,276.1,268.4,270,6030,6075,5943,5944,355797,55212,43150,43310,42990,43030,766824,164886
2019-01-02 0:00:00,277,278.5,273.2,274.6,6065,6122,6034,6045.5,355755,41367,43670,43970,43390,43610,752996,318420
2019-01-03 0:00:00,278,278.7,274.75,277.55,6118,6129,6050,6096.5,353512,35235,43850,44140,43570,43740,754120,312606
2019-01-04 0:00:00,279.5,280,275.45,278,6145,6150,6055.5,6103.5,351646,46714,43830,44050,43640,43800,768012,306368
2019-01-05 0:00:00,288.65,288.95,278.6,278.85,6335,6335.25,6118,6130,355988,88210,44070,44300,43750,43770,755516,316342
2019-01-06 0:00:00,293.15,294,288.45,288.45,6400,6424.5,6299.5,6311,358568,54918,,,,,,
2019-01-07 0:00:00,292.4,292.95,289.5,291.3,,,,,,,45470,45800,45130,45330,745914,267168
2019-01-08 0:00:00,294,295.3,290.65,291.8,6480,6481,6350,6392,354960,67655,45700,45930,45530,45830,729624,233228
2019-01-09 0:00:00,293.25,294.5,291.45,293.5,6390,6458,6366.5,6433,355954,55830,46090,46360,45830,45850,697316,414292
2019-01-10 0:00:00,292.6,293.55,291.3,293.2,6400,6447,6372,6419,355855,36782,45880,46170,45650,46170,679834,302190
2019-01-11 0:00:00,293.1,293.7,289.65,292.75,6387.5,6434,6335.5,6398,351617,30847,45890,46050,45780,45910,683244,249800
2019-01-12 0:00:00,291.75,293.85,290.8,293.85,6365,6421,6350.5,6410,350919,31263,45780,46030,45570,45860,671906,273964
2019-01-13 0:00:00,295.05,295.9,291.75,291.75,6440,6459,6363,6389.5,351426,13662,45740,45930,45600,45690,668940,188694
2019-01-14 0:00:00,295,296.1,293.45,294.75,6405,6458.5,6386.5,6430,350762,40427,46080,46390,45900,46070,677630,241570
2019-01-15 0:00:00,294.6,295.95,293,293.75,6401,6439.5,6375,6419.5,349741,30798,46000,46280,45770,46180,669004,254606
2019-01-16 0:00:00,294.9,295.3,292.25,294,6415,6425,6352,6403,347062,35397,45930,46130,45770,46060,670642,195046
2019-01-17 0:00:00,293,296,291.85,295.5,6380,6439,6352,6422.5,343562,35259,45940,46150,45720,45850,662704,76748
2019-01-18 0:00:00,286.15,292.3,285,292.3,6220,6392,6207.5,6384.5,332361,72404,45780,45980,45650,45930,659296,84556
2019-01-19 0:00:00,285.15,285.9,284.4,285,6220,6245,6194,6236,332190,46826,44860,45330,44520,45300,659012,176150
2019-01-20 0:00:00,287.1,288,285.35,285.35,6252,6280,6216,6216.5,330383,32745,44910,45110,44610,44750,639554,114362
2019-01-21 0:00:00,283.35,285.25,281.5,285.25,6161.5,6273,6143,6254.5,326493,43931,45060,45180,44940,44980,634646,94614
2019-01-22 0:00:00,,,,,,,,,,,44540,44640,44430,44480,631664,110772
2019-01-23 0:00:00,285.35,285.35,281.1,282.9,6106.5,6230,6105,6202.5,326636,39236,44720,45060,44350,44690,634464,199788
2019-01-24 0:00:00,281.6,284.15,280.5,284.15,6080.5,6146,6075.5,6118.5,327467,51224,44190,44350,42030,44300,630536,236238
2019-01-25 0:00:00,276.75,278.4,275.85,276.35,6095,6132.5,6085,6088.5,327104,47437,44130,44360,43950,44080,616134,281792
2019-01-26 0:00:00,272.8,278.4,272.45,277,6015,6137,6012.5,6106,326225,75751,44160,44320,43970,44130,595652,208388
2019-01-27 0:00:00,272,274.25,271,272.8,6024,6050,5985,6015,325373,50175,43810,44140,43570,44010,598012,271036
2019-01-28 0:00:00,273.6,274.5,271.4,271.55,6040,6055.5,5990,5995,323142,48737,43610,43820,43410,43550,595214,236858
2019-01-29 0:00:00,272.65,274.9,272,273.75,6011,6064,5998,6032.5,322149,60473,43740,43870,43490,43730,593814,228746
2019-01-30 0:00:00,268.7,273.15,267.65,272.65,5915,6019,5906,6016,325398,56431,43490,43660,43330,43600,593420,240492
2019-01-31 0:00:00,269.25,270.8,267,268.65,5937,5971.5,5885,5930,324696,45330,43040,43440,42740,43310,605014,328872
2019-02-01 0:00:00,269.65,270.6,268.25,270.25,5948,5966,5913.5,5953.5,323903,31251,43080,43250,42790,42930,595086,242348
2019-02-02 0:00:00,271.4,273.55,269.5,270.45,5965,6015,5935.5,5951.5,324793,45308,43200,43350,43090,43100,587366,162420
2019-02-03 0:00:00,274.7,276.7,271.05,271.15,6030,6083.5,5962.5,5977,323034,49860,43370,43520,43190,43320,583222,169556
2019-02-04 0:00:00,266.9,274.95,265.75,274.15,5880,6047,5861,6037.5,326210,59532,43560,43760,43160,43630,575566,200008
2019-02-05 0:00:00,267.8,268.4,266,267.35,5912,5916,5858.5,5888,325937,41362,42720,43060,42480,42990,603590,312702
2019-02-06 0:00:00,264.7,268.1,262.55,267.55,5815,5908.5,5777,5901.5,321940,45644,42520,42820,42140,42590,606358,217688
2019-02-07 0:00:00,261.55,265.55,261.05,264.35,5750,5843,5749,5820,314957,53861,42110,42320,41930,42050,602504,82872
2019-02-08 0:00:00,260.4,263.25,259.8,261.25,5745,5793.5,5728,5757,308194,37306,41780,42010,41650,42000,604610,76576
2019-02-09 0:00:00,260.6,264.25,260.1,261.35,5755,5820,5736,5764,306236,46494,41870,42150,41530,41890,597736,87234
2019-02-10 0:00:00,256.9,261.65,255.8,260.15,5659,5773.5,5652,5741.5,306060,42743,41820,42000,41700,41910,592228,103358
2019-02-11 0:00:00,256.7,258.1,255.95,257.2,5654,5688,5642.5,5674,306678,28219,,,,,,
2019-02-12 0:00:00,261.3,262.95,256.85,257.15,5780,5788,5667,5667,305054,50871,41790,41920,41500,41560,596322,70700
2019-02-13 0:00:00,262.45,264.9,259.95,260.85,5739,5828.5,5721,5750,308756,54351,41920,42180,41680,41800,601178,118918
2019-02-14 0:00:00,262.3,263.05,259.4,262.05,5770,5782,5692,5766,309087,34609,41860,42240,41320,42180,593722,152702
2019-02-15 0:00:00,264.45,265.4,262.05,262.5,5755,5820,5741.5,5755.5,307895,44982,41930,42500,41560,41800,568048,204164
2019-02-16 0:00:00,263.85,266,262.1,263.75,5790,5838,5755,5775,311702,64483,42180,42620,41920,42050,521076,276048
2019-02-17 0:00:00,262.35,264.6,259.45,263.8,5765,5818,5706,5796,307638,55011,42210,42470,41990,42340,528520,257752
2019-02-18 0:00:00,263.55,264.2,261.5,262.25,5775,5825,5731,5752.5,308172,46477,41950,42300,41560,41950,515952,323088
2019-02-19 0:00:00,263.45,264.5,262.8,263.95,5795,5820,5764.5,5785,308240,32392,42190,42490,41890,41980,507412,218806
2019-02-20 0:00:00,,,,,5759,5825,5746.5,5789,307669,29035,42310,42470,42120,42290,506826,225938
2019-02-21 0:00:00,254.3,260.25,251,263.6,5590,5746.5,5520,5720,308420,77603,41220,42320,40100,42300,557638,490330
2019-02-22 0:00:00,245.1,254.45,239,254.45,5339.5,5611,5261.5,5583.5,312559,144776,40390,40860,39690,40730,590870,518564
2019-02-23 0:00:00,250.4,251.95,239.65,246.2,5520,5546.5,5240,5408,313552,125665,38550,39600,37960,39510,615546,1262028
2019-02-24 0:00:00,255.8,259.45,250,250,5630,5722.5,5479.5,5494,313160,81785,40060,40800,38620,38650,555178,894496
2019-02-25 0:00:00,254.55,256,253.65,256,5590,5660,5555,5637.5,311034,45643,40720,41220,40260,40870,584914,650284
2019-02-26 0:00:00,255.55,256,250.7,254.75,5591,5648,5492.5,5566.5,309224,56079,40180,40630,39740,40410,614982,379240
2019-02-27 0:00:00,254.45,255.15,252.7,255.15,5565,5603,5515,5592,304186,35328,40430,40610,40250,40480,614472,296534
2019-02-28 0:00:00,253.05,257,251.1,257,5531,5668,5530.85,5587.5,306834,58101,40460,40750,40130,40310,618470,289106
2019-03-01 0:00:00,253.15,254.9,252,252.3,5560,5598,5518,5544,306137,31687,40180,40470,39880,40410,606426,135026
2019-03-02 0:00:00,250.45,253.7,249.5,253.5,5480,5580,5458,5550,304697,41162,40220,40400,40110,40170,612396,72812
2019-03-03 0:00:00,248.4,249.55,247.5,249,5480,5504,5429,5502.5,303093,37499,39670,40060,39330,39780,644734,161034
2019-03-04 0:00:00,247.75,251.75,247.85,251.1,5455,5545,5446,5451.5,298058,51910,39750,39980,39370,39550,639522,105474
2019-03-05 0:00:00,243.15,245,243.2,245,5361,5469.5,5346.5,5460,296269,51514,39350,39860,38850,39670,694686,175466
2019-03-06 0:00:00,238.55,243,236.25,241,5272.5,5405,5255,5364,297860,69597,38890,39260,38490,38960,708794,210558
2019-03-07 0:00:00,238.15,238.6,236.65,236.65,5263,5294,5191.5,5251.5,295356,76589,38120,39000,37600,38800,786508,319628
2019-03-08 0:00:00,235.05,238.4,234.2,238.35,5188,5281,5164,5250,294086,58170,38150,38530,37800,38040,772330,287236
2019-03-09 0:00:00,240.3,240.85,234.8,234.8,5297.5,5333,5189,5189,295115,55035,37850,38150,37440,37680,765540,265940
2019-03-10 0:00:00,240.8,241,240.3,241,5328,5398,5281.5,5319.5,292393,49295,38770,39400,38110,38190,728690,394434
2019-03-11 0:00:00,237.7,242.2,235.85,240.8,5260,5350,5210,5327,291516,40934,38680,39030,38450,38820,731196,300354
2019-03-12 0:00:00,236.35,239.6,234.8,237.55,5230,5295,5211.5,5262,285381,41944,38380,38640,38190,38290,743432,283054
2019-03-13 0:00:00,234.6,236.3,232.15,235.6,5220,5240,5142,5218.5,291263,61411,38200,38680,37810,38350,780130,436930
2019-03-14 0:00:00,236.2,237.45,232.8,234.15,5235,5266,5158.5,5195,289332,41966,37970,38290,37650,37840,753600,405154
2019-03-15 0:00:00,234.85,236.2,233.75,235.3,5178,5227.5,5176,5217,289684,37716,38130,38430,37860,38330,763466,269210
2019-03-16 0:00:00,234.1,236.15,233.6,235.15,5185,5220,5170,5199,291460,32330,38020,38200,37830,38170,764344,261494
2019-03-17 0:00:00,233.25,235.4,231.3,234.35,5173,5197,5121,5185,290465,51377,37750,38100,37310,37880,776988,443168
2019-03-18 0:00:00,240,241.1,230.75,232,5309,5323.5,5118,5135,290791,59249,37850,38100,37540,37750,770290,355558
2019-03-19 0:00:00,233.15,242.9,231.35,239.15,5125,5363.5,5109,5293,293004,88670,38880,39820,37980,38010,718768,703446
2019-03-20 0:00:00,235,235.8,229.25,233.6,5189.5,5198,5062,5155,294304,84017,38920,39500,38530,38670,699766,671490
2019-03-21 0:00:00,235.3,238.25,232.6,234.85,5185,5253,5128.5,5188.5,294021,40122,39620,39970,39190,39500,665500,472860
2019-03-22 0:00:00,235.15,236.65,233.35,235.15,5165,5212.5,5140,5172.5,290612,36347,39420,39580,39220,39470,659528,301880
2019-03-23 0:00:00,232.1,234.85,230.95,234.45,5115,5167.5,5076,5165,286416,38011,39200,39510,38930,39270,643970,301984
2019-03-24 0:00:00,228.7,232.6,226.5,231.95,5035,5112.5,4983,5101,284181,69806,38790,38960,38600,38750,642836,81306
2019-03-25 0:00:00,227.6,229.7,226.05,228.2,4995,5050,4976,5025.5,285512,50416,38290,38590,37960,38560,643264,144098
2019-03-26 0:00:00,231.95,233.25,226.75,227.2,5119,5120,4991,5006,284568,59462,38400,38650,38160,38330,641374,121026
2019-03-27 0:00:00,230.35,232.6,227.5,232.55,5055,5102,4992.5,5092,283364,52199,38840,39060,38690,38850,629424,154156
2019-03-28 0:00:00,225.9,229.65,220.9,229.4,4951,5019,4855,5018,289580,45806,38140,38790,37530,38660,664178,343694
2019-03-29 0:00:00,231.35,231.9,224.2,224.7,5065,5071.5,4912.5,4926,291171,69990,38420,38940,37720,37830,641104,384940
2019-03-30 0:00:00,224.8,231.2,223.65,230.25,4935,5040,4903,5039.5,291738,73386,39070,39420,38710,39150,627572,280550
2019-03-31 0:00:00,233.4,234.3,226.35,226.55,5140,5142.5,4949.5,4950,291699,78119,38560,38870,38090,38500,612710,269560
2019-04-01 0:00:00,234.65,236.8,230.9,233.55,5135,5197.5,5071.5,5130,287623,65312,39250,39690,38700,38780,603366,315610
2019-04-02 0:00:00,233.8,234.25,229.4,233.7,,,,,,,39280,39580,39010,39350,596394,242440
2019-04-03 0:00:00,230.25,233.85,229,233.55,5069,5151,5064,5126.5,287083,49889,39210,39540,38880,39020,586220,270324
2019-04-04 0:00:00,233.3,234.35,229.15,229.45,5120,5162,5045,5060,283949,49778,39060,39230,38900,39020,575946,218336
2019-04-05 0:00:00,239,242.05,233.6,233.6,5246,5314,5119,5140,283288,55272,,,,,,
2019-04-06 0:00:00,231.95,237,232,237,5120,5236.5,5079,5236,286962,36020,,,,,,
2019-04-07 0:00:00,,,,,5148,5208,5081,5105,288094,38030,39260,39430,38980,39080,585732,165810
2019-04-08 0:00:00,243.85,245.1,232.6,232.6,5345,5378,5121.5,5154,291931,94732,39390,39550,39210,39520,593180,300004
2019-04-09 0:00:00,244.25,247.2,242.75,243.4,5365,5434.5,5328,5364,289695,59988,40820,41550,39970,40000,604042,852324
2019-04-10 0:00:00,245.45,247.3,243,243,5398,5435,5331.5,5340.5,291393,44236,40950,41290,40690,41220,596768,594110
2019-04-11 0:00:00,246.2,246.75,243.05,246.35,5370,5414.5,5321.5,5380,292247,49214,41130,41280,40960,40990,582782,503240
2019-04-12 0:00:00,241.4,244.4,240.9,244.25,5309,5393.5,5275.5,5371,291711,40508,40870,41200,40570,40850,566124,499764
2019-04-13 0:00:00,243.6,243.75,240.6,242,5347,5348,5251,5308,281320,44827,40510,40690,40290,40510,557084,476206
2019-04-14 0:00:00,246.15,246.6,243,243,5379,5405,5310,5341,278214,59032,40580,40910,40340,40340,546028,110082
2019-04-15 0:00:00,246.15,250,244.7,246.3,5390,5440.5,5351,5405,281072,37962,41010,41310,40730,40850,548028,144178
2019-04-16 0:00:00,239.7,246.95,238.55,246.95,5254,5417,5233,5407.5,284962,65838,40860,41150,40640,40890,552896,99934
2019-04-17 0:00:00,239.85,241.3,238.45,238.55,5269,5314,5208,5234.5,285698,41201,40100,40500,39790,40350,534494,168450
2019-04-18 0:00:00,230.7,239,229.75,239,5078,5263,5036,5256.5,291038,94854,40100,40420,39840,40260,546188,88016
2019-04-19 0:00:00,230.55,232.2,230,230.25,5057,5122.5,5048,5072,288678,48120,38610,39290,38190,39200,585190,244322
2019-04-20 0:00:00,231.2,231.6,229,231.6,5051,5102,5013.5,5065,289849,54718,38770,39100,38550,38900,582476,114122
2019-04-21 0:00:00,229.15,232.35,228.4,230.9,5023,5110,5022.85,5077,289264,40850,38820,39060,38450,38550,555602,177618
2019-04-22 0:00:00,225.6,229,224.55,229,4965,5080,4925,5035.5,289887,55975,38600,38930,38120,38780,571472,103954
2019-04-23 0:00:00,225.15,226.95,222.55,224.75,4970,5011.5,4915.5,4960.5,289459,43649,37780,38080,37550,37710,601542,244164
2019-04-24 0:00:00,234.1,235.75,225.35,225.7,5160,5192,4976.5,4987.5,295496,74238,38080,38490,37810,38000,597890,171862
2019-04-25 0:00:00,230.45,237.65,229.7,233.8,5095,5230,5060,5153.5,297231,52695,,,,,,
2019-04-26 0:00:00,232.55,234.65,227.3,230.8,5100,5160,5010,5095,294375,40009,,,,,,
2019-04-27 0:00:00,235.55,237.35,232.95,233.55,5177,5224,5128,5163.5,292986,40777,,,,,,
2019-04-28 0:00:00,235.5,237.6,232.55,235.8,5185,5226,5120,5187,293545,35026,,,,,,
2019-04-29 0:00:00,236.7,239.6,235.2,235.7,5187,5270,5175,5189,289879,42181,,,,,,
2019-04-30 0:00:00,234.3,237.25,231.8,236.7,5135,5205,5103,5194,,50850,39160,39450,38880,39340,593086,196074
